0.0360,0.0198,0.0128,0.0144,0.0152,0.0146,0.0121,0.0096,0.0584,nan,nan,nan,nan
0.0266,0.0140,0.0092,0.0103,0.0108,0.0107,0.0091,0.0058,0.0077,0.0299,nan,nan,nan
0.0211,0.0115,0.0076,0.0085,0.0091,0.0089,0.0079,0.0049,0.0059,0.0084,0.0249,nan,nan
0.0196,0.0106,0.0069,0.0078,0.0083,0.0083,0.0072,0.0046,0.0054,0.0073,0.0095,0.1293,nan
0.0190,0.0101,0.0066,0.0074,0.0078,0.0078,0.0071,0.0044,0.0051,0.0067,0.0078,0.0175,nan
0.0180,0.0097,0.0063,0.0071,0.0075,0.0076,0.0066,0.0041,0.0048,0.0063,0.0073,0.0129,0.0444
0.0174,0.0092,0.0060,0.0067,0.0071,0.0072,0.0064,0.0040,0.0045,0.0060,0.0070,0.0126,0.0273
0.0169,0.0090,0.0059,0.0065,0.0070,0.0070,0.0063,0.0039,0.0045,0.0060,0.0071,0.0132,0.0263
0.0172,0.0092,0.0059,0.0066,0.0072,0.0072,0.0065,0.0040,0.0046,0.0062,0.0076,0.0145,0.0293
0.0136,0.0072,0.0047,0.0053,0.0056,0.0058,0.0052,0.0032,0.0038,0.0052,0.0064,0.0127,0.0248
0.0186,0.0098,0.0064,0.0071,0.0077,0.0079,0.0071,0.0045,0.0053,0.0072,0.0091,0.0181,0.0349
0.0279,0.0149,0.0096,0.0108,0.0116,0.0117,0.0109,0.0068,0.0080,0.0110,0.0138,0.0265,0.0451
0.0429,0.0233,0.0151,0.0169,0.0181,0.0187,0.0166,0.0104,0.0123,0.0168,0.0207,0.0374,0.0606
0.0409,0.0216,0.0141,0.0152,0.0168,0.0171,0.0159,0.0095,0.0107,0.0141,0.0163,0.0280,0.0364
