0.0360,0.0196,0.0120,0.0113,0.0104,0.0100,0.0100,0.0094,0.0587,nan,nan,nan,nan
0.0266,0.0139,0.0085,0.0081,0.0074,0.0072,0.0073,0.0056,0.0077,0.0300,nan,nan,nan
0.0211,0.0114,0.0070,0.0067,0.0062,0.0060,0.0061,0.0048,0.0059,0.0085,0.0250,nan,nan
0.0195,0.0105,0.0064,0.0062,0.0056,0.0055,0.0056,0.0044,0.0054,0.0073,0.0095,0.1293,nan
0.0190,0.0100,0.0062,0.0059,0.0053,0.0052,0.0054,0.0041,0.0051,0.0068,0.0078,0.0176,nan
0.0179,0.0096,0.0059,0.0056,0.0051,0.0050,0.0051,0.0039,0.0048,0.0063,0.0073,0.0129,0.0445
0.0174,0.0091,0.0056,0.0054,0.0049,0.0048,0.0049,0.0037,0.0046,0.0060,0.0071,0.0126,0.0274
0.0169,0.0089,0.0055,0.0052,0.0048,0.0047,0.0048,0.0037,0.0045,0.0060,0.0071,0.0133,0.0264
0.0171,0.0091,0.0056,0.0053,0.0049,0.0048,0.0049,0.0038,0.0046,0.0062,0.0076,0.0146,0.0293
0.0135,0.0072,0.0044,0.0042,0.0039,0.0038,0.0039,0.0030,0.0038,0.0052,0.0064,0.0128,0.0248
0.0186,0.0097,0.0059,0.0057,0.0052,0.0051,0.0053,0.0042,0.0053,0.0072,0.0091,0.0182,0.0351
0.0279,0.0147,0.0090,0.0086,0.0080,0.0077,0.0080,0.0064,0.0080,0.0110,0.0138,0.0266,0.0453
0.0428,0.0231,0.0140,0.0135,0.0123,0.0121,0.0125,0.0098,0.0123,0.0168,0.0207,0.0374,0.0609
0.0408,0.0214,0.0132,0.0125,0.0115,0.0113,0.0115,0.0089,0.0107,0.0142,0.0164,0.0281,0.0367
